ID	County	City	Type
823570	71	13210	HV
823571	71	13210	ML
823695	71	59451	ML
823715	71	59451	ML
823720	71	59451	ML
823858	65	ML
823913	71	13214	HV
823914	71	13214	ML
823977	65	49270	HV
823978	65	49270	ML
824021	71	60466	ML
824024	71	60466	ML
824042	71	ML
824044	71	ML
824055	65	49270	HV
824056	65	49270	ML
824068	65	49270	HV
824069	65	49270	ML
824105	71	ML
824108	71	ML
824122	71	14890	ML
824125	71	14890	ML
824164	71	14890	ML
824166	71	14890	ML
824180	71	ML
824183	71	ML
824203	71	ML
824205	71	ML
824226	71	ML
824232	71	ML
824263	71	65000	HV
824264	71	65000	ML
824266	71	65000	HV
824267	71	65000	ML
824280	71	65000	HV
824281	71	65000	ML
824302	71	65000	HV
824303	71	65000	ML
824305	71	65000	HV
824306	71	65000	ML
824333	71	65000	HV
824334	71	65000	ML
824342	71	65000	HV
824343	71	65000	ML
824371	71	65000	HV
824372	71	65000	ML
824448	71	65000	HV
824449	71	65000	ML
824450	71	65000	HV
824451	71	65000	ML
824529	71	HV
824530	71	ML
824677	71	14890	ML
824679	71	14890	ML
824695	71	14890	ML
824697	71	14890	ML
824715	71	ML
824717	71	ML
824734	71	ML
824752	71	ML
824754	71	ML
824917	71	93850	ML
824977	65	62000	HV
824978	65	62000	ML
825018	71	ML
825036	65	ML
825053	65	ML
825089	71	13210	HV
825090	71	13210	ML
825095	71	13210	HV
825096	71	13210	ML
825103	71	13214	HV
825104	71	13214	ML
825108	71	13214	HV
825109	71	13214	ML
825114	71	13210	HV
825115	71	13210	ML
825120	71	13214	HV
825121	71	13214	ML
825149	71	13214	HV
825150	71	13214	ML
825154	71	13214	ML
825180	65	ML
825334	71	60466	ML
825337	71	60466	ML
825359	71	60466	ML
825360	71	60466	ML
825531	71	24680	ML
825534	71	24680	ML
825549	71	24680	ML
825570	71	24680	ML
825572	71	24680	ML
825646	71	24680	HV
825661	71	53896	ML
825667	71	13210	HV
825668	71	13210	ML
825675	71	53896	HV
825676	71	53896	ML
825684	71	HV
825685	71	HV
825689	71	HV
825690	71	HV
825693	71	HV
825694	71	HV
825697	71	HV
825701	71	HV
825702	71	HV
825706	71	HV
825711	71	14890	HV
825712	71	14890	HV
825715	65	62000	HV
825733	65	62000	HV
825734	65	62000	ML
825735	65	62000	HV
825736	65	62000	ML
825748	65	62000	HV
825749	65	62000	ML
825767	65	4758	ML
825784	65	4758	ML
825787	65	4758	ML
825802	65	16350	ML
825818	71	ML
825820	71	ML
825834	71	81344	HV
825840	65	ML
825845	65	ML
825849	65	51560	ML
825859	65	HV
825860	65	ML
825866	71	13210	HV
825867	71	13210	ML
825873	71	53896	HV
825874	71	53896	ML
825879	71	13756	HV
825880	71	13756	ML
825886	71	13756	HV
825887	71	13756	ML
825892	71	13756	HV
825893	71	13756	ML
825898	71	81344	HV
825899	71	81344	ML
825904	71	81344	HV
